1;Das Motto;Wahrheit sag ich euch, Wahrheit und immer Wahrheit, versteht sich:"|"Meine Wahrheit,;denn sonst ist mir auch keine bekannt.
2;Den Zudringlichen;Was nicht zusammengeht, das soll sich meiden!"|"Ich hindr euch nicht, wo's euch beliebt, zu weiden:"|"Denn ihr seid neu und ich bin alt geboren."|"Macht, was ihr wollt,;nur lasst mich ungeschoren!
3;Aphorismus;Ich kann sie kaum erwarten,"|" Die erste Blum im Garten,"|" Die erste blüht am Baum.;Sie grüßen meine Lieder,"|" Und kommt der Winter wieder,"|" Sing ich noch jenen Traum.
4;Das philosophische Gespräch;Einer, das höret man wohl, spricht nach dem andern, doch keiner"|"Mit dem andern,;wer nennt zwei Monologen Gespräch"|"
5;Das Alter;Das Alter ist ein höflich Mann:"|"Einmal übers andre klopft er an,;Aber nun sagt niemand: Herein!"|"Und vor der Türe will er nicht sein."|"Da klinkt er auf, tritt ein so schnell,"|"Und nun heißts, er sei ein grober Gesell.
6;Breit wie lang;Wer bescheiden ist, muß dulden,"|"Und wer frech ist, der muß leiden,;Also wirst du gleich verschulden,"|"Ob du frech seist, ob bescheiden.
7;Demut;Seh ich die Werke der Meister an,"|"So seh ich das, was sie getan,;Betracht ich meine Siebensachen,"|"Seh ich, was ich hätt sollen machen.
8;Problem;Warum ist alles so rätselhaft?"|"Hier ist das Wollen, hier ist die Kraft,;Das Wollen will, die Kraft ist bereit,"|"Und daneben die schöne lange Zeit."|"So seht doch hin, wo die gute Welt"|"Zusammenhält!"|"Seht hin, wo sie auseinanderfällt!
9;Totalität;Ein Kavalier von Kopf und Herz"|"Ist überall willkommen,;Er hat mit feinem Witz und Scherz"|"Manch Weibchen eingenommen:"|"Doch wenns ihm fehlt an Faust und Kraft,"|"Wer mag ihn dann beschützen?"|"Und wenn er keinen Hintern hat,"|"Wie mag der Edle sitzen?
10;Rätsel;Ein Bruder ists von vielen Brüdern,"|"In allem ihnen völlig gleich,"|"Ein nötig Glied von vielen Gliedern"|"In eines großen Vaters Reich,;Jedoch erblickt man ihn nur selten,"|"Fast wie ein eingeschobnes Kind:"|"Die andern lassen ihn nur gelten"|"Da, wo sie unvermögend sind.
11;Lebensart;Über Wetter- und Herrenlaunen"|"Runzle niemals die Augenbraunen,;Und bei den Grillen der hübschen Frauen"|"Musst du immer vergnüglich schauen.
12;Ins Weite;Das geht so fröhlich"|"Ins Allgemeine!"|"Ist leicht und selig,"|"Als wärs auch reine."|"Sie wissen gar nichts"|"Von stillen Riffen,;Und wie sie schiffen,"|"Die lieben Heitern,"|"Sie werden wie gar nichts"|"Zusammen scheitern.
13;Geschwindschreiber;Was sie gestern gelernt, das wollen sie heute schon lehren.;Ach! was haben die Herrn doch für ein kurzes Gedärm!
14;Der Sprachforscher;Anatomieren magst du die Sprache, doch nur ihr Kadaver,"|"Geist und Leben entschlüpft flüchtig dem groben Skalpell.;Alles an diesem Gedicht ist vollkommen, Sprache, Gedanke,"|"Rhythmus, das einzige nur fehlt noch, es ist kein Gedicht.
15;Aphorismus;Gefühl ist alles. Name ist Schall und Rauch.;Alles ist einfacher, als man denken kann, und zugleich verschränkter, als zu begreifen ist.
