1;West-östl. Divan;Ihr nennt mich einen kargen Mann"|"Gebt mir was ich verprassen kann.;Soll ich dir die Gegend zeigen,"|"Musst du erst das Dach besteigen.
2;West-östl. Divan;Ich gedachte in der Nacht"|"Dass ich den Mond sähe im Schlaf.;Als ich aber erwachte"|"Ging unvermutet die Sonne auf.
3;West-östl. Divan;Höre den Rat den die Leier tönt"|"Doch er nutzet nur, wenn du fähig bist.;Das glücklichste Wort, es wird verhöhnt"|"Wenn der Hörer ein Schiefohr ist.
4;West-östl. Divan;Hab’ ich euch denn je geraten"|"Wie ihr Kriege führen solltet?;Schalt ich euch nach euren Taten"|"Wenn ihr Friede schließen wolltet?
5;Aus den Maximen;Es ist viel mehr schon entdeckt, als man glaubt.;Auch einsichtige Menschen bemerken nicht, dass sie dasjenige erklären wollen, was Grunderfahrungen sind, bei denen man sich beruhigen müsste.
6;Aus den Maximen;Eine jede Idee tritt als ein fremder Gast in die Erscheinung, und wie sie sich zu realisieren beginnt, ist sie kaum von Phantasie und Phantasterei zu unterscheiden.;Jeder, der eine Zeitlang auf dem redlichen Forschen verharrt, muss seine Methode irgendeinmal umändern.
7;Aus den Maximen;Gleiche oder wenigstens ähnliche Wirkungen werden auf verschiedene Weise durch Naturkräfte hervorgebracht.;Der Mensch an sich selbst, insofern er sich seiner gesunden Sinne bedient, ist der größte und genaueste physikalische Apparat, den es geben kann.
8;Aus den Maximen;Steine sind stumme Lehrer, sie machen den Beobachter stumm, und das Beste, was man von ihnen lernt, ist nicht mitzuteilen.;Diejenigen, die das einzige grundklare Licht aus farbigen Lichtern zusammensetzen, sind die eigentlichen Obskuranten.
9;Aus den Maximen;Gegen die Kritik kann man sich weder schützen noch wehren, man muss ihr zum Trutz handeln, und das läs sie sich nach und nach gefallen.;Man muss sein Glaubensbekenntnis von Zeit zu Zeit wiederholen, aussprechen, was man billigt, was man verdammt.
10;Aus den Maximen;Es ist weit eher möglich, sich in den Zustand eines Gehirns zu versetzen, das im entschiedensten Irrtum befangen ist, als eines, das Halbwahrheiten sich vorspiegelt.;Zuerst belehre man sich selbst, dann wird man Belehrung von andern empfangen.
11;Aus den Maximen;Jedes gute und schlechte Kunstwerk, sobald es entstanden ist, gehört zur Natur.;Selbst im Augenblick des höchsten Glücks und der höchsten Not bedürfen wir des Künstlers.
12;Aus den Maximen;Das Erste und Letzte, was vom Genie gefordert wird, ist Wahrheitsliebe.;Es gibt nichts Gemeines, was, fratzenhaft ausgedrückt, nicht humoristisch aussähe.
13;Aus den Maximen;Der Rhythmus hat etwas Zauberisches, sogar macht er uns glauben, das Erhabene gehöre uns an.;Das Talent entwickelt im Praktischen alles und braucht von den theoretischen Einzelheiten nicht Notiz zu nehmen.
14;Aus den Maximen;Es ist so schwer, etwas von Mustern zu lernen, als von der Natur. Vollkommene Künstler haben mehr dem Unterricht als der Natur zu danken.;Nur in der Schule selbst ist die eigentliche Vorschule.
